datetime,ip,name,ifIndex,status
2025-06-23 15:11:29,79.2.1.2,Router-AS VLAN581,201,1,snmp
2025-06-23 15:11:29,80.5.1.1,Router-AS VLAN-801,1,1,snmp
2025-06-23 15:11:29,8.8.8.8,Google DNS (Test),1,0,ping
2025-06-23 15:11:35,10.50.50.1,Router-AS ether9,151,1,snmp
2025-06-23 15:11:35,10.51.1.2,Router-AS L2TP-AWS,131,1,snmp
2025-06-23 15:11:35,101.255.56.242,Router-AS Bridge-Publik,171,1,snmp
2025-06-23 15:11:35,103.245.16.237,Router-AS Ether2-Quantum,92,1,snmp
2025-06-23 15:11:35,11.6.1.2,Router-AS Ether10,161,1,snmp
2025-06-23 15:11:35,131.131.7.2,Router-AS V-575-DRCB,251,1,snmp
2025-06-23 15:11:35,170.6.6.2,Router-AS VLAN13,181,1,snmp
2025-06-23 15:11:35,174.24.25.2,Router-AS VLAN544,191,1,snmp
2025-06-23 15:11:35,192.168.200.200,Router-AS Indihome,231,1,snmp
2025-06-23 15:11:35,192.168.221.253,Router-AS V-221LOKAL,241,1,snmp
2025-06-23 15:11:35,37.37.1.1,Router-AS VLAN-331,221,1,snmp
2025-06-23 15:11:35,79.2.1.2,Router-AS VLAN581,201,1,snmp
2025-06-23 15:11:35,80.5.1.1,Router-AS VLAN-801,1,1,snmp
2025-06-23 15:11:35,8.8.8.8,Google DNS (Test),1,0,ping
2025-06-23 15:11:38,10.50.50.1,Router-AS ether9,151,1,snmp
2025-06-23 15:11:38,10.51.1.2,Router-AS L2TP-AWS,131,1,snmp
2025-06-23 15:11:38,101.255.56.242,Router-AS Bridge-Publik,171,1,snmp
2025-06-23 15:11:38,103.245.16.237,Router-AS Ether2-Quantum,92,1,snmp
2025-06-23 15:11:38,11.6.1.2,Router-AS Ether10,161,1,snmp
2025-06-23 15:11:38,131.131.7.2,Router-AS V-575-DRCB,251,1,snmp
2025-06-23 15:11:38,170.6.6.2,Router-AS VLAN13,181,1,snmp
2025-06-23 15:11:38,174.24.25.2,Router-AS VLAN544,191,1,snmp
2025-06-23 15:11:38,192.168.200.200,Router-AS Indihome,231,1,snmp
2025-06-23 15:11:38,192.168.221.253,Router-AS V-221LOKAL,241,1,snmp
2025-06-23 15:11:38,37.37.1.1,Router-AS VLAN-331,221,1,snmp
2025-06-23 15:11:38,79.2.1.2,Router-AS VLAN581,201,1,snmp
2025-06-23 15:11:38,80.5.1.1,Router-AS VLAN-801,1,1,snmp
2025-06-23 15:11:38,8.8.8.8,Google DNS (Test),1,0,ping
2025-06-23 15:11:41,10.50.50.1,Router-AS ether9,151,1,snmp
2025-06-23 15:11:41,10.51.1.2,Router-AS L2TP-AWS,131,1,snmp
2025-06-23 15:11:41,101.255.56.242,Router-AS Bridge-Publik,171,1,snmp
2025-06-23 15:11:41,103.245.16.237,Router-AS Ether2-Quantum,92,1,snmp
2025-06-23 15:11:41,11.6.1.2,Router-AS Ether10,161,1,snmp
2025-06-23 15:11:41,131.131.7.2,Router-AS V-575-DRCB,251,1,snmp
2025-06-23 15:11:41,170.6.6.2,Router-AS VLAN13,181,1,snmp
2025-06-23 15:11:41,174.24.25.2,Router-AS VLAN544,191,1,snmp
2025-06-23 15:11:41,192.168.200.200,Router-AS Indihome,231,1,snmp
2025-06-23 15:11:41,192.168.221.253,Router-AS V-221LOKAL,241,1,snmp
2025-06-23 15:11:41,37.37.1.1,Router-AS VLAN-331,221,1,snmp
2025-06-23 15:11:41,79.2.1.2,Router-AS VLAN581,201,1,snmp
2025-06-23 15:11:41,80.5.1.1,Router-AS VLAN-801,1,1,snmp
2025-06-23 15:11:41,8.8.8.8,Google DNS (Test),1,0,ping
2025-06-23 15:11:43,10.50.50.1,Router-AS ether9,151,1,snmp
2025-06-23 15:11:43,10.51.1.2,Router-AS L2TP-AWS,131,1,snmp
2025-06-23 15:11:43,101.255.56.242,Router-AS Bridge-Publik,171,1,snmp
2025-06-23 15:11:43,103.245.16.237,Router-AS Ether2-Quantum,92,1,snmp
2025-06-23 15:11:43,11.6.1.2,Router-AS Ether10,161,1,snmp
2025-06-23 15:11:43,131.131.7.2,Router-AS V-575-DRCB,251,1,snmp
2025-06-23 15:11:43,170.6.6.2,Router-AS VLAN13,181,1,snmp
2025-06-23 15:11:43,174.24.25.2,Router-AS VLAN544,191,1,snmp
2025-06-23 15:11:43,192.168.200.200,Router-AS Indihome,231,1,snmp
2025-06-23 15:11:43,192.168.221.253,Router-AS V-221LOKAL,241,1,snmp
2025-06-23 15:11:43,37.37.1.1,Router-AS VLAN-331,221,1,snmp
2025-06-23 15:11:43,79.2.1.2,Router-AS VLAN581,201,1,snmp
2025-06-23 15:11:43,80.5.1.1,Router-AS VLAN-801,1,1,snmp
2025-06-23 15:11:43,8.8.8.8,Google DNS (Test),1,0,ping
2025-06-23 15:11:44,10.50.50.1,Router-AS ether9,151,1,snmp
2025-06-23 15:11:44,10.51.1.2,Router-AS L2TP-AWS,131,1,snmp
2025-06-23 15:11:44,101.255.56.242,Router-AS Bridge-Publik,171,1,snmp
2025-06-23 15:11:44,103.245.16.237,Router-AS Ether2-Quantum,92,1,snmp
2025-06-23 15:11:44,11.6.1.2,Router-AS Ether10,161,1,snmp
2025-06-23 15:11:44,131.131.7.2,Router-AS V-575-DRCB,251,1,snmp
2025-06-23 15:11:44,170.6.6.2,Router-AS VLAN13,181,1,snmp
2025-06-23 15:11:44,174.24.25.2,Router-AS VLAN544,191,1,snmp
